date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2022-12-24,82,92,38,98,100,60,67,100,30120,31800,1680,2760,19800,7560,43,95,210,15750,2022-12-23T22:06:00+02:00,2022-12-24T06:56:00+02:00,64.92,59.0,53,0.05,0.18,18.25,93,78,100,100,100,100,497,2476,11171,10280,31980,30900,19560,3840,120,0,1.53125,0,63,83,64,18,22,100,86,78,60
2022-12-25,88,100,87,98,99,56,70,93,34170,36360,2190,5730,21600,6840,44,94,210,18390,2022-12-24T22:06:42+02:00,2022-12-25T08:12:42+02:00,66.47,59.0,52,0.38,0.29,18.125,90,71,100,100,100,100,274,2244,5802,4681,34440,34500,16140,1260,60,0,1.375,0,78,98,70,87,29,73,86,81,89
2022-12-26,86,100,71,99,97,62,81,70,34290,37380,3090,5100,20580,8610,45,92,480,18180,2022-12-25T22:55:01+02:00,2022-12-26T09:18:01+02:00,67.69,60.0,51,0.27,0.39,18.125,100,97,100,100,100,100,285,2119,5926,5747,21000,51240,11940,2100,120,0,1.28125,0,78,93,75,100,42,82,77,84,71
2022-12-28,85,100,91,88,83,50,99,65,42540,49920,7380,6480,30960,5100,50,85,900,26910,2022-12-27T20:39:12+02:00,2022-12-28T10:31:12+02:00,64.99,58.0,57,0.17,0.34,17.25,100,100,100,100,100,100,467,2340,9986,9323,14880,50820,16740,3720,240,0,1.40625,0,76,90,89,1,27,90,96,88,100
2022-12-29,83,81,96,88,97,60,72,100,25980,28260,2280,6930,14730,4320,44,92,270,14130,2022-12-28T20:27:20+02:00,2022-12-29T04:18:20+02:00,73.39,58.0,34,0.07,0.24,17.75,99,98,100,100,100,100,1094,3123,19539,23050,19860,29700,23520,10740,240,2340,1.9375,0,74,85,84,100,32,99,96,78,7
2022-12-30,83,79,61,96,97,68,94,100,26610,28800,2190,4380,16380,5850,39,92,810,14640,2022-12-29T20:20:01+02:00,2022-12-30T04:20:01+02:00,63.1,55.0,57,0.02,0.17,17.75,97,100,100,100,100,100,1750,3778,29122,35058,17460,24960,16140,17220,3060,7560,2.34375,0,70,85,78,58,27,100,96,86,17
2022-12-31,89,100,100,100,100,68,83,54,48090,49860,1770,9120,28770,10200,46,96,540,24840,2022-12-30T21:37:23+02:00,2022-12-31T11:28:23+02:00,59.95,51.0,70,0.06,0.14,16.875,None,None,None,None,None,None,504,2459,10997,10087,24480,35220,19620,3840,0,3240,1.5,0,74,100,99,1,13,100,76,91,81
2023-01-01,81,100,74,100,98,63,67,20,30690,32640,1950,5190,17250,8250,52,94,180,16410,2023-01-01T01:49:31+02:00,2023-01-01T10:53:31+02:00,63.2,55.0,61,0.11,0.16,17.5,None,None,None,None,None,None,265,2126,5310,5441,22620,47580,12480,1200,0,2520,1.28125,0,83,79,100,None,None,96,97,93,100
2023-01-02,82,82,67,97,95,60,86,100,27510,30420,2910,4770,15690,7050,46,90,630,15540,2023-01-01T22:33:30+02:00,2023-01-02T07:00:30+02:00,64.72,57.0,55,-0.26,0.04,17.5,None,None,None,None,None,None,589,2541,12347,11880,26220,36240,18240,5400,300,0,1.5625,0,81,82,94,None,None,96,100,94,29
2023-01-03,90,100,96,99,97,63,70,93,33150,35880,2730,7320,17760,8070,40,92,270,18150,2023-01-02T22:10:38+02:00,2023-01-03T08:08:38+02:00,64.97,58.0,50,-0.06,-0.01,17.125,97,92,100,95,100,100,446,2382,10029,8875,25140,39120,18660,3420,60,0,1.46875,0,84,100,100,None,None,100,94,93,100
